code_nod;Soil_id;WS;Dem_class;Date_IC;Planting_date_s;Planting_date_f;tillage_day_1;tillage_day_2
4246;RC00004246;ABAA;0;23125;4125;4278;4110;4274
4250;RC00004250;ABAB;0;23125;4125;4278;4110;4274
4251;RC00004251;ABAC;0;23125;4125;4278;4110;4274
4252;RC00004252;ABAD;0;23125;4125;4278;4110;4274
5002;RC00005002;ABAE;0;23125;4125;4278;4110;4274
6361;RC00006361;ABAF;0;23125;4125;4278;4110;4274
7070;RC00007070;ABAG;0;23125;4125;4278;4110;4274
8697;RC00008697;ABAH;0;23125;4125;4278;4110;4274
8809;RC00008809;ABAI;0;23125;4125;4278;4110;4274
8823;RC00008823;ABAL;0;23125;4125;4278;4110;4274
8825;RC00008825;ABAM;0;23125;4125;4278;4110;4274
9075;RC00009075;UNUT;0;23125;4125;4278;4110;4274
9613;RC00009613;UNUT;0;23125;4125;4278;4110;4274
11488;RC00011488;UNUT;0;23125;4125;4278;4110;4274
11499;RC00011499;UNUT;0;23125;4125;4278;4110;4274
11609;RC00011609;UNUT;0;23125;4125;4278;4110;4274
11656;RC00011656;UNUT;0;23125;4125;4278;4110;4274
11834;RC00011834;UNUT;0;23125;4125;4278;4110;4274
11845;RC00011845;UNUT;0;23125;4125;4278;4110;4274
